date,keyword,hits
2023-03-01,DIAN,42
2023-04-01,DIAN,39
2023-05-01,DIAN,45
2023-06-01,DIAN,39
2023-07-01,DIAN,46
2023-08-01,DIAN,64
2023-09-01,DIAN,76
2023-10-01,DIAN,50
2023-11-01,DIAN,36
2023-12-01,DIAN,36
2024-01-01,DIAN,42
2024-02-01,DIAN,42
2024-03-01,DIAN,37
2024-04-01,DIAN,43
2024-05-01,DIAN,55
2024-06-01,DIAN,42
2024-07-01,DIAN,52
2024-08-01,DIAN,100
2024-09-01,DIAN,70
2012-01-01,credito hipotecario Colombia,0.5
2012-02-01,credito hipotecario Colombia,0.5
2012-03-01,credito hipotecario Colombia,0.5
2012-04-01,credito hipotecario Colombia,0.5
2012-05-01,credito hipotecario Colombia,0.5
2012-06-01,credito hipotecario Colombia,0.5
2012-07-01,credito hipotecario Colombia,0.5
2012-08-01,credito hipotecario Colombia,0.5
2012-09-01,credito hipotecario Colombia,0.5
2012-10-01,credito hipotecario Colombia,0.5
2012-11-01,credito hipotecario Colombia,0.5
2012-12-01,credito hipotecario Colombia,0.5
2013-01-01,credito hipotecario Colombia,0.5
2013-02-01,credito hipotecario Colombia,0.5
2013-03-01,credito hipotecario Colombia,0.5
2013-04-01,credito hipotecario Colombia,0.5
2013-05-01,credito hipotecario Colombia,0.5
2013-06-01,credito hipotecario Colombia,0.5
2013-07-01,credito hipotecario Colombia,0.5
2013-08-01,credito hipotecario Colombia,0.5
2013-09-01,credito hipotecario Colombia,0.5
2013-10-01,credito hipotecario Colombia,0.5
2013-11-01,credito hipotecario Colombia,0.5
2013-12-01,credito hipotecario Colombia,0.5
2014-01-01,credito hipotecario Colombia,0.5
2014-02-01,credito hipotecario Colombia,0.5
2014-03-01,credito hipotecario Colombia,0.5
2014-04-01,credito hipotecario Colombia,0.5
2014-05-01,credito hipotecario Colombia,0.5
2014-06-01,credito hipotecario Colombia,0.5
2014-07-01,credito hipotecario Colombia,0.5
2014-08-01,credito hipotecario Colombia,0.5
2014-09-01,credito hipotecario Colombia,0.5
2014-10-01,credito hipotecario Colombia,0.5
2014-11-01,credito hipotecario Colombia,0.5
2014-12-01,credito hipotecario Colombia,0.5
2015-01-01,credito hipotecario Colombia,0.5
2015-02-01,credito hipotecario Colombia,0.5
2015-03-01,credito hipotecario Colombia,0.5
2015-04-01,credito hipotecario Colombia,0.5
2015-05-01,credito hipotecario Colombia,0.5
2015-06-01,credito hipotecario Colombia,0.5
2015-07-01,credito hipotecario Colombia,0.5
2015-08-01,credito hipotecario Colombia,0.5
2015-09-01,credito hipotecario Colombia,0.5
2015-10-01,credito hipotecario Colombia,0.5
2015-11-01,credito hipotecario Colombia,0.5
2015-12-01,credito hipotecario Colombia,0.5
2016-01-01,credito hipotecario Colombia,0.5
2016-02-01,credito hipotecario Colombia,0.5
2016-03-01,credito hipotecario Colombia,0.5
2016-04-01,credito hipotecario Colombia,0.5
2016-05-01,credito hipotecario Colombia,0.5
2016-06-01,credito hipotecario Colombia,0.5
2016-07-01,credito hipotecario Colombia,0.5
2016-08-01,credito hipotecario Colombia,0.5
2016-09-01,credito hipotecario Colombia,0.5
2016-10-01,credito hipotecario Colombia,0.5
2016-11-01,credito hipotecario Colombia,0.5
2016-12-01,credito hipotecario Colombia,0.5
2017-01-01,credito hipotecario Colombia,0.5
2017-02-01,credito hipotecario Colombia,0.5
2017-03-01,credito hipotecario Colombia,0.5
2017-04-01,credito hipotecario Colombia,0.5
2017-05-01,credito hipotecario Colombia,0.5
2017-06-01,credito hipotecario Colombia,0.5
2017-07-01,credito hipotecario Colombia,0.5
2017-08-01,credito hipotecario Colombia,0.5
2017-09-01,credito hipotecario Colombia,0.5
2017-10-01,credito hipotecario Colombia,0.5
2017-11-01,credito hipotecario Colombia,0.5
2017-12-01,credito hipotecario Colombia,0.5
2018-01-01,credito hipotecario Colombia,0.5
2018-02-01,credito hipotecario Colombia,0.5
2018-03-01,credito hipotecario Colombia,0.5
2018-04-01,credito hipotecario Colombia,0.5
2018-05-01,credito hipotecario Colombia,0.5
2018-06-01,credito hipotecario Colombia,0.5
2018-07-01,credito hipotecario Colombia,0.5
2018-08-01,credito hipotecario Colombia,0.5
2018-09-01,credito hipotecario Colombia,0.5
2018-10-01,credito hipotecario Colombia,0.5
2018-11-01,credito hipotecario Colombia,0.5
2018-12-01,credito hipotecario Colombia,0.5
2019-01-01,credito hipotecario Colombia,0.5
2019-02-01,credito hipotecario Colombia,0.5
2019-03-01,credito hipotecario Colombia,0.5
2019-04-01,credito hipotecario Colombia,0.5
2019-05-01,credito hipotecario Colombia,0.5
2019-06-01,credito hipotecario Colombia,0.5
2019-07-01,credito hipotecario Colombia,0.5
2019-08-01,credito hipotecario Colombia,0.5
2019-09-01,credito hipotecario Colombia,0.5
2019-10-01,credito hipotecario Colombia,0.5
2019-11-01,credito hipotecario Colombia,0.5
2019-12-01,credito hipotecario Colombia,0.5
2020-01-01,credito hipotecario Colombia,0.5
2020-02-01,credito hipotecario Colombia,0.5
2020-03-01,credito hipotecario Colombia,0.5
2020-04-01,credito hipotecario Colombia,0.5
2020-05-01,credito hipotecario Colombia,0.5
2020-06-01,credito hipotecario Colombia,0.5
2020-07-01,credito hipotecario Colombia,0.5
2020-08-01,credito hipotecario Colombia,0.5
2020-09-01,credito hipotecario Colombia,0.5
2020-10-01,credito hipotecario Colombia,0.5
2020-11-01,credito hipotecario Colombia,0.5
2020-12-01,credito hipotecario Colombia,0.5
2021-01-01,credito hipotecario Colombia,0.5
2021-02-01,credito hipotecario Colombia,0.5
2021-03-01,credito hipotecario Colombia,0.5
2021-04-01,credito hipotecario Colombia,0.5
2021-05-01,credito hipotecario Colombia,0.5
2021-06-01,credito hipotecario Colombia,0.5
2021-07-01,credito hipotecario Colombia,0.5
2021-08-01,credito hipotecario Colombia,0.5
2021-09-01,credito hipotecario Colombia,0.5
2021-10-01,credito hipotecario Colombia,0.5
2021-11-01,credito hipotecario Colombia,0.5
2021-12-01,credito hipotecario Colombia,0.5
2022-01-01,credito hipotecario Colombia,0.5
2022-02-01,credito hipotecario Colombia,0.5
2022-03-01,credito hipotecario Colombia,0.5
2022-04-01,credito hipotecario Colombia,0.5
2022-05-01,credito hipotecario Colombia,0.5
2022-06-01,credito hipotecario Colombia,0.5
2022-07-01,credito hipotecario Colombia,0.5
2022-08-01,credito hipotecario Colombia,0.5
2022-09-01,credito hipotecario Colombia,0.5
2022-10-01,credito hipotecario Colombia,0.5
2022-11-01,credito hipotecario Colombia,0.5
2022-12-01,credito hipotecario Colombia,0.5
2023-01-01,credito hipotecario Colombia,0.5
2023-02-01,credito hipotecario Colombia,0.5
2023-03-01,credito hipotecario Colombia,0.5
2023-04-01,credito hipotecario Colombia,0.5
2023-05-01,credito hipotecario Colombia,0.5
2023-06-01,credito hipotecario Colombia,0.5
2023-07-01,credito hipotecario Colombia,0.5
2023-08-01,credito hipotecario Colombia,0.5
2023-09-01,credito hipotecario Colombia,0.5
2023-10-01,credito hipotecario Colombia,0.5
2023-11-01,credito hipotecario Colombia,0.5
2023-12-01,credito hipotecario Colombia,0.5
2024-01-01,credito hipotecario Colombia,0.5
2024-02-01,credito hipotecario Colombia,0.5
2024-03-01,credito hipotecario Colombia,0.5
2024-04-01,credito hipotecario Colombia,0.5
2024-05-01,credito hipotecario Colombia,0.5
2024-06-01,credito hipotecario Colombia,0.5
2024-07-01,credito hipotecario Colombia,0.5
2024-08-01,credito hipotecario Colombia,0.5
2024-09-01,credito hipotecario Colombia,0.5
2012-01-01,desempleo Colombia,0.5
2012-02-01,desempleo Colombia,1
2012-03-01,desempleo Colombia,1
2012-04-01,desempleo Colombia,1
2012-05-01,desempleo Colombia,1
2012-06-01,desempleo Colombia,1
2012-07-01,desempleo Colombia,0.5
2012-08-01,desempleo Colombia,1
2012-09-01,desempleo Colombia,1
2012-10-01,desempleo Colombia,1
2012-11-01,desempleo Colombia,1
2012-12-01,desempleo Colombia,0.5
2013-01-01,desempleo Colombia,0.5
2013-02-01,desempleo Colombia,1
2013-03-01,desempleo Colombia,1
2013-04-01,desempleo Colombia,1
2013-05-01,desempleo Colombia,1
2013-06-01,desempleo Colombia,0.5
2013-07-01,desempleo Colombia,0.5
2013-08-01,desempleo Colombia,1
2013-09-01,desempleo Colombia,1
2013-10-01,desempleo Colombia,1
2013-11-01,desempleo Colombia,1
2013-12-01,desempleo Colombia,0.5
2014-01-01,desempleo Colombia,0.5
2014-02-01,desempleo Colombia,1
2014-03-01,desempleo Colombia,1
2014-04-01,desempleo Colombia,1
2014-05-01,desempleo Colombia,1
2014-06-01,desempleo Colombia,0.5
2014-07-01,desempleo Colombia,0.5
2014-08-01,desempleo Colombia,1
2014-09-01,desempleo Colombia,1
2014-10-01,desempleo Colombia,1
2014-11-01,desempleo Colombia,1
2014-12-01,desempleo Colombia,0.5
2015-01-01,desempleo Colombia,0.5
2015-02-01,desempleo Colombia,1
2015-03-01,desempleo Colombia,1
2015-04-01,desempleo Colombia,0.5
2015-05-01,desempleo Colombia,1
2015-06-01,desempleo Colombia,0.5
2015-07-01,desempleo Colombia,0.5
2015-08-01,desempleo Colombia,0.5
2015-09-01,desempleo Colombia,1
2015-10-01,desempleo Colombia,0.5
2015-11-01,desempleo Colombia,0.5
2015-12-01,desempleo Colombia,0.5
2016-01-01,desempleo Colombia,0.5
2016-02-01,desempleo Colombia,1
2016-03-01,desempleo Colombia,1
2016-04-01,desempleo Colombia,1
2016-05-01,desempleo Colombia,1
2016-06-01,desempleo Colombia,0.5
2016-07-01,desempleo Colombia,0.5
2016-08-01,desempleo Colombia,1
2016-09-01,desempleo Colombia,0.5
2016-10-01,desempleo Colombia,1
2016-11-01,desempleo Colombia,1
2016-12-01,desempleo Colombia,0.5
2017-01-01,desempleo Colombia,0.5
2017-02-01,desempleo Colombia,0.5
2017-03-01,desempleo Colombia,1
2017-04-01,desempleo Colombia,0.5
2017-05-01,desempleo Colombia,1
2017-06-01,desempleo Colombia,0.5
2017-07-01,desempleo Colombia,0.5
2017-08-01,desempleo Colombia,0.5
2017-09-01,desempleo Colombia,1
2017-10-01,desempleo Colombia,1
2017-11-01,desempleo Colombia,1
2017-12-01,desempleo Colombia,0.5
2018-01-01,desempleo Colombia,0.5
2018-02-01,desempleo Colombia,1
2018-03-01,desempleo Colombia,1
2018-04-01,desempleo Colombia,1
2018-05-01,desempleo Colombia,1
2018-06-01,desempleo Colombia,0.5
2018-07-01,desempleo Colombia,0.5
2018-08-01,desempleo Colombia,0.5
2018-09-01,desempleo Colombia,1
2018-10-01,desempleo Colombia,1
2018-11-01,desempleo Colombia,1
2018-12-01,desempleo Colombia,0.5
2019-01-01,desempleo Colombia,0.5
2019-02-01,desempleo Colombia,1
2019-03-01,desempleo Colombia,1
2019-04-01,desempleo Colombia,0.5
2019-05-01,desempleo Colombia,1
2019-06-01,desempleo Colombia,0.5
2019-07-01,desempleo Colombia,0.5
2019-08-01,desempleo Colombia,1
2019-09-01,desempleo Colombia,1
2019-10-01,desempleo Colombia,1
2019-11-01,desempleo Colombia,1
2019-12-01,desempleo Colombia,0.5
2020-01-01,desempleo Colombia,0.5
2020-02-01,desempleo Colombia,1
2020-03-01,desempleo Colombia,1
2020-04-01,desempleo Colombia,1
2020-05-01,desempleo Colombia,1
2020-06-01,desempleo Colombia,1
2020-07-01,desempleo Colombia,1
2020-08-01,desempleo Colombia,1
2020-09-01,desempleo Colombia,1
2020-10-01,desempleo Colombia,1
2020-11-01,desempleo Colombia,1
2020-12-01,desempleo Colombia,0.5
2021-01-01,desempleo Colombia,0.5
2021-02-01,desempleo Colombia,0.5
2021-03-01,desempleo Colombia,0.5
2021-04-01,desempleo Colombia,0.5
2021-05-01,desempleo Colombia,1
2021-06-01,desempleo Colombia,0.5
2021-07-01,desempleo Colombia,0.5
2021-08-01,desempleo Colombia,0.5
2021-09-01,desempleo Colombia,0.5
2021-10-01,desempleo Colombia,0.5
2021-11-01,desempleo Colombia,1
2021-12-01,desempleo Colombia,0.5
2022-01-01,desempleo Colombia,0.5
2022-02-01,desempleo Colombia,1
2022-03-01,desempleo Colombia,1
2022-04-01,desempleo Colombia,1
2022-05-01,desempleo Colombia,1
2022-06-01,desempleo Colombia,0.5
2022-07-01,desempleo Colombia,0.5
2022-08-01,desempleo Colombia,0.5
2022-09-01,desempleo Colombia,1
2022-10-01,desempleo Colombia,1
2022-11-01,desempleo Colombia,1
2022-12-01,desempleo Colombia,0.5
2023-01-01,desempleo Colombia,0.5
2023-02-01,desempleo Colombia,1
2023-03-01,desempleo Colombia,1
2023-04-01,desempleo Colombia,1
2023-05-01,desempleo Colombia,1
2023-06-01,desempleo Colombia,0.5
2023-07-01,desempleo Colombia,0.5
2023-08-01,desempleo Colombia,0.5
2023-09-01,desempleo Colombia,0.5
2023-10-01,desempleo Colombia,0.5
2023-11-01,desempleo Colombia,0.5
2023-12-01,desempleo Colombia,0.5
2024-01-01,desempleo Colombia,1
2024-02-01,desempleo Colombia,0.5
2024-03-01,desempleo Colombia,0.5
2024-04-01,desempleo Colombia,1
2024-05-01,desempleo Colombia,0.5
2024-06-01,desempleo Colombia,0.5
2024-07-01,desempleo Colombia,0.5
2024-08-01,desempleo Colombia,0.5
2024-09-01,desempleo Colombia,0.5
2012-01-01,inflacion Colombia,1
2012-02-01,inflacion Colombia,1
2012-03-01,inflacion Colombia,1
2012-04-01,inflacion Colombia,1
2012-05-01,inflacion Colombia,1
2012-06-01,inflacion Colombia,0.5
2012-07-01,inflacion Colombia,0.5
2012-08-01,inflacion Colombia,1
2012-09-01,inflacion Colombia,1
2012-10-01,inflacion Colombia,1
2012-11-01,inflacion Colombia,1
2012-12-01,inflacion Colombia,0.5
2013-01-01,inflacion Colombia,1
2013-02-01,inflacion Colombia,1
2013-03-01,inflacion Colombia,1
2013-04-01,inflacion Colombia,1
2013-05-01,inflacion Colombia,1
2013-06-01,inflacion Colombia,0.5
2013-07-01,inflacion Colombia,0.5
2013-08-01,inflacion Colombia,1
2013-09-01,inflacion Colombia,1
2013-10-01,inflacion Colombia,1
2013-11-01,inflacion Colombia,1
2013-12-01,inflacion Colombia,0.5
2014-01-01,inflacion Colombia,1
2014-02-01,inflacion Colombia,1
2014-03-01,inflacion Colombia,1
2014-04-01,inflacion Colombia,1
2014-05-01,inflacion Colombia,1
2014-06-01,inflacion Colombia,0.5
2014-07-01,inflacion Colombia,0.5
2014-08-01,inflacion Colombia,1
2014-09-01,inflacion Colombia,1
2014-10-01,inflacion Colombia,1
2014-11-01,inflacion Colombia,1
2014-12-01,inflacion Colombia,0.5
2015-01-01,inflacion Colombia,1
2015-02-01,inflacion Colombia,1
2015-03-01,inflacion Colombia,1
2015-04-01,inflacion Colombia,1
2015-05-01,inflacion Colombia,1
2015-06-01,inflacion Colombia,0.5
2015-07-01,inflacion Colombia,0.5
2015-08-01,inflacion Colombia,1
2015-09-01,inflacion Colombia,1
2015-10-01,inflacion Colombia,1
2015-11-01,inflacion Colombia,1
2015-12-01,inflacion Colombia,1
2016-01-01,inflacion Colombia,1
2016-02-01,inflacion Colombia,1
2016-03-01,inflacion Colombia,1
2016-04-01,inflacion Colombia,1
2016-05-01,inflacion Colombia,1
2016-06-01,inflacion Colombia,0.5
2016-07-01,inflacion Colombia,0.5
2016-08-01,inflacion Colombia,1
2016-09-01,inflacion Colombia,1
2016-10-01,inflacion Colombia,1
2016-11-01,inflacion Colombia,1
2016-12-01,inflacion Colombia,1
2017-01-01,inflacion Colombia,1
2017-02-01,inflacion Colombia,1
2017-03-01,inflacion Colombia,1
2017-04-01,inflacion Colombia,1
2017-05-01,inflacion Colombia,1
2017-06-01,inflacion Colombia,0.5
2017-07-01,inflacion Colombia,0.5
2017-08-01,inflacion Colombia,1
2017-09-01,inflacion Colombia,1
2017-10-01,inflacion Colombia,1
2017-11-01,inflacion Colombia,1
2017-12-01,inflacion Colombia,0.5
2018-01-01,inflacion Colombia,1
2018-02-01,inflacion Colombia,1
2018-03-01,inflacion Colombia,1
2018-04-01,inflacion Colombia,1
2018-05-01,inflacion Colombia,1
2018-06-01,inflacion Colombia,0.5
2018-07-01,inflacion Colombia,0.5
2018-08-01,inflacion Colombia,0.5
2018-09-01,inflacion Colombia,1
2018-10-01,inflacion Colombia,0.5
2018-11-01,inflacion Colombia,0.5
2018-12-01,inflacion Colombia,1
2019-01-01,inflacion Colombia,1
2019-02-01,inflacion Colombia,0.5
2019-03-01,inflacion Colombia,0.5
2019-04-01,inflacion Colombia,0.5
2019-05-01,inflacion Colombia,0.5
2019-06-01,inflacion Colombia,0.5
2019-07-01,inflacion Colombia,0.5
2019-08-01,inflacion Colombia,0.5
2019-09-01,inflacion Colombia,0.5
2019-10-01,inflacion Colombia,0.5
2019-11-01,inflacion Colombia,0.5
2019-12-01,inflacion Colombia,1
2020-01-01,inflacion Colombia,1
2020-02-01,inflacion Colombia,0.5
2020-03-01,inflacion Colombia,0.5
2020-04-01,inflacion Colombia,0.5
2020-05-01,inflacion Colombia,0.5
2020-06-01,inflacion Colombia,0.5
2020-07-01,inflacion Colombia,0.5
2020-08-01,inflacion Colombia,0.5
2020-09-01,inflacion Colombia,0.5
2020-10-01,inflacion Colombia,0.5
2020-11-01,inflacion Colombia,0.5
2020-12-01,inflacion Colombia,0.5
2021-01-01,inflacion Colombia,0.5
2021-02-01,inflacion Colombia,0.5
2021-03-01,inflacion Colombia,0.5
2021-04-01,inflacion Colombia,0.5
2021-05-01,inflacion Colombia,0.5
2021-06-01,inflacion Colombia,0.5
2021-07-01,inflacion Colombia,0.5
2021-08-01,inflacion Colombia,0.5
2021-09-01,inflacion Colombia,0.5
2021-10-01,inflacion Colombia,0.5
2021-11-01,inflacion Colombia,0.5
2021-12-01,inflacion Colombia,1
2022-01-01,inflacion Colombia,1
2022-02-01,inflacion Colombia,1
2022-03-01,inflacion Colombia,1
2022-04-01,inflacion Colombia,1
2022-05-01,inflacion Colombia,1
2022-06-01,inflacion Colombia,1
2022-07-01,inflacion Colombia,1
2022-08-01,inflacion Colombia,1
2022-09-01,inflacion Colombia,1
2022-10-01,inflacion Colombia,1
2022-11-01,inflacion Colombia,1
2022-12-01,inflacion Colombia,1
2023-01-01,inflacion Colombia,2
2023-02-01,inflacion Colombia,1
2023-03-01,inflacion Colombia,1
2023-04-01,inflacion Colombia,1
2023-05-01,inflacion Colombia,1
2023-06-01,inflacion Colombia,1
2023-07-01,inflacion Colombia,1
2023-08-01,inflacion Colombia,1
2023-09-01,inflacion Colombia,1
2023-10-01,inflacion Colombia,1
2023-11-01,inflacion Colombia,1
2023-12-01,inflacion Colombia,1
2024-01-01,inflacion Colombia,1
2024-02-01,inflacion Colombia,1
2024-03-01,inflacion Colombia,1
2024-04-01,inflacion Colombia,1
2024-05-01,inflacion Colombia,1
2024-06-01,inflacion Colombia,0.5
2024-07-01,inflacion Colombia,0.5
2024-08-01,inflacion Colombia,1
2024-09-01,inflacion Colombia,1
2012-01-01,remate Colombia,20
2012-02-01,remate Colombia,24
2012-03-01,remate Colombia,25
2012-04-01,remate Colombia,22
2012-05-01,remate Colombia,23
2012-06-01,remate Colombia,16
2012-07-01,remate Colombia,19
2012-08-01,remate Colombia,21
2012-09-01,remate Colombia,18
2012-10-01,remate Colombia,14
2012-11-01,remate Colombia,14
2012-12-01,remate Colombia,19
2013-01-01,remate Colombia,19
2013-02-01,remate Colombia,15
2013-03-01,remate Colombia,13
2013-04-01,remate Colombia,12
2013-05-01,remate Colombia,15
2013-06-01,remate Colombia,17
2013-07-01,remate Colombia,14
2013-08-01,remate Colombia,11
2013-09-01,remate Colombia,13
2013-10-01,remate Colombia,14
2013-11-01,remate Colombia,17
2013-12-01,remate Colombia,14
2014-01-01,remate Colombia,15
2014-02-01,remate Colombia,12
2014-03-01,remate Colombia,12
2014-04-01,remate Colombia,12
2014-05-01,remate Colombia,10
2014-06-01,remate Colombia,12
2014-07-01,remate Colombia,12
2014-08-01,remate Colombia,10
2014-09-01,remate Colombia,10
2014-10-01,remate Colombia,10
2014-11-01,remate Colombia,10
2014-12-01,remate Colombia,10
2015-01-01,remate Colombia,11
2015-02-01,remate Colombia,10
2015-03-01,remate Colombia,9
2015-04-01,remate Colombia,9
2015-05-01,remate Colombia,8
2015-06-01,remate Colombia,8
2015-07-01,remate Colombia,7
2015-08-01,remate Colombia,9
2015-09-01,remate Colombia,9
2015-10-01,remate Colombia,6
2015-11-01,remate Colombia,7
2015-12-01,remate Colombia,7
2016-01-01,remate Colombia,6
2016-02-01,remate Colombia,7
2016-03-01,remate Colombia,6
2016-04-01,remate Colombia,6
2016-05-01,remate Colombia,4
2016-06-01,remate Colombia,5
2016-07-01,remate Colombia,6
2016-08-01,remate Colombia,6
2016-09-01,remate Colombia,5
2016-10-01,remate Colombia,5
2016-11-01,remate Colombia,4
2016-12-01,remate Colombia,6
2017-01-01,remate Colombia,6
2017-02-01,remate Colombia,5
2017-03-01,remate Colombia,4
2017-04-01,remate Colombia,5
2017-05-01,remate Colombia,5
2017-06-01,remate Colombia,6
2017-07-01,remate Colombia,5
2017-08-01,remate Colombia,4
2017-09-01,remate Colombia,4
2017-10-01,remate Colombia,5
2017-11-01,remate Colombia,5
2017-12-01,remate Colombia,6
2018-01-01,remate Colombia,6
2018-02-01,remate Colombia,5
2018-03-01,remate Colombia,4
2018-04-01,remate Colombia,4
2018-05-01,remate Colombia,4
2018-06-01,remate Colombia,3
2018-07-01,remate Colombia,4
2018-08-01,remate Colombia,4
2018-09-01,remate Colombia,4
2018-10-01,remate Colombia,5
2018-11-01,remate Colombia,4
2018-12-01,remate Colombia,5
2019-01-01,remate Colombia,5
2019-02-01,remate Colombia,4
2019-03-01,remate Colombia,4
2019-04-01,remate Colombia,3
2019-05-01,remate Colombia,3
2019-06-01,remate Colombia,3
2019-07-01,remate Colombia,3
2019-08-01,remate Colombia,2
2019-09-01,remate Colombia,3
2019-10-01,remate Colombia,3
2019-11-01,remate Colombia,3
2019-12-01,remate Colombia,3
2020-01-01,remate Colombia,4
2020-02-01,remate Colombia,4
2020-03-01,remate Colombia,2
2020-04-01,remate Colombia,3
2020-05-01,remate Colombia,3
2020-06-01,remate Colombia,4
2020-07-01,remate Colombia,4
2020-08-01,remate Colombia,3
2020-09-01,remate Colombia,3
2020-10-01,remate Colombia,3
2020-11-01,remate Colombia,4
2020-12-01,remate Colombia,3
2021-01-01,remate Colombia,4
2021-02-01,remate Colombia,3
2021-03-01,remate Colombia,3
2021-04-01,remate Colombia,3
2021-05-01,remate Colombia,3
2021-06-01,remate Colombia,3
2021-07-01,remate Colombia,4
2021-08-01,remate Colombia,3
2021-09-01,remate Colombia,3
2021-10-01,remate Colombia,3
2021-11-01,remate Colombia,3
2021-12-01,remate Colombia,2
2022-01-01,remate Colombia,3
2022-02-01,remate Colombia,4
2022-03-01,remate Colombia,3
2022-04-01,remate Colombia,3
2022-05-01,remate Colombia,3
2022-06-01,remate Colombia,3
2022-07-01,remate Colombia,3
2022-08-01,remate Colombia,3
2022-09-01,remate Colombia,2
2022-10-01,remate Colombia,3
2022-11-01,remate Colombia,2
2022-12-01,remate Colombia,2
2023-01-01,remate Colombia,3
2023-02-01,remate Colombia,3
2023-03-01,remate Colombia,3
2023-04-01,remate Colombia,3
2023-05-01,remate Colombia,2
2023-06-01,remate Colombia,2
2023-07-01,remate Colombia,3
2023-08-01,remate Colombia,2
2023-09-01,remate Colombia,3
2023-10-01,remate Colombia,2
2023-11-01,remate Colombia,2
2023-12-01,remate Colombia,2
2024-01-01,remate Colombia,3
2024-02-01,remate Colombia,3
2024-03-01,remate Colombia,2
2024-04-01,remate Colombia,2
2024-05-01,remate Colombia,2
2024-06-01,remate Colombia,2
2024-07-01,remate Colombia,3
2024-08-01,remate Colombia,2
2024-09-01,remate Colombia,2
2012-01-01,tasa de cambio,1
2012-02-01,tasa de cambio,2
2012-03-01,tasa de cambio,2
2012-04-01,tasa de cambio,1
2012-05-01,tasa de cambio,1
2012-06-01,tasa de cambio,1
